window,model,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
5m,lr,0,0.01,0.378610008072291,0.0099806554711374,0.0095318194561255,0.9531819456125596,0.1259640102827763,0.9423076923076924,0.2222222222222222,49,0.2781316348195329,0.2657200811359026,0.2717842323651452,131,340
5m,lr,0,0.05,0.0112214073684361,0.0499873840029157,0.0523969722455845,1.0479394449116903,0.0260552371026576,0.9615384615384616,0.0507356671740233,50,0.1266355140186915,0.5496957403651116,0.2058488416255222,271,1869
5m,lr,1,0.001,0.9975328794801684,0.000981244217668,0.0010653209980375,1.0653209980375666,0.5189873417721519,0.7884615384615384,0.6259541984732825,41,0.073170731707317,0.0060851926977687,0.0112359550561797,3,38
5m,lr,1,0.01,0.378610008072291,0.0099806554711374,0.0095318194561255,0.9531819456125596,0.1259640102827763,0.9423076923076924,0.2222222222222222,49,0.2781316348195329,0.2657200811359026,0.2717842323651452,131,340
5m,lr,1,0.05,0.0112214073684361,0.0499873840029157,0.0523969722455845,1.0479394449116903,0.0260552371026576,0.9615384615384616,0.0507356671740233,50,0.1266355140186915,0.5496957403651116,0.2058488416255222,271,1869
5m,lr,2,0.001,0.9975328794801684,0.000981244217668,0.0010653209980375,1.0653209980375666,0.5189873417721519,0.7884615384615384,0.6259541984732825,41,0.073170731707317,0.0060851926977687,0.0112359550561797,3,38
5m,lr,2,0.01,0.378610008072291,0.0099806554711374,0.0095318194561255,0.9531819456125596,0.1259640102827763,0.9423076923076924,0.2222222222222222,49,0.2781316348195329,0.2657200811359026,0.2717842323651452,131,340
5m,lr,2,0.05,0.0112214073684361,0.0499873840029157,0.0523969722455845,1.0479394449116903,0.0260552371026576,0.9615384615384616,0.0507356671740233,50,0.1266355140186915,0.5496957403651116,0.2058488416255222,271,1869
5m,lr,3,0.001,0.9975328794801684,0.000981244217668,0.0010653209980375,1.0653209980375666,0.5189873417721519,0.7884615384615384,0.6259541984732825,41,0.073170731707317,0.0060851926977687,0.0112359550561797,3,38
5m,lr,3,0.01,0.378610008072291,0.0099806554711374,0.0095318194561255,0.9531819456125596,0.1259640102827763,0.9423076923076924,0.2222222222222222,49,0.2781316348195329,0.2657200811359026,0.2717842323651452,131,340
5m,lr,3,0.05,0.0112214073684361,0.0499873840029157,0.0523969722455845,1.0479394449116903,0.0260552371026576,0.9615384615384616,0.0507356671740233,50,0.1266355140186915,0.5496957403651116,0.2058488416255222,271,1869
5m,lr,4,0.001,0.9975328794801684,0.000981244217668,0.0010653209980375,1.0653209980375666,0.5189873417721519,0.7884615384615384,0.6259541984732825,41,0.073170731707317,0.0060851926977687,0.0112359550561797,3,38
5m,lr,4,0.01,0.378610008072291,0.0099806554711374,0.0095318194561255,0.9531819456125596,0.1259640102827763,0.9423076923076924,0.2222222222222222,49,0.2781316348195329,0.2657200811359026,0.2717842323651452,131,340
5m,lr,4,0.05,0.0112214073684361,0.0499873840029157,0.0523969722455845,1.0479394449116903,0.0260552371026576,0.9615384615384616,0.0507356671740233,50,0.1266355140186915,0.5496957403651116,0.2058488416255222,271,1869
5m,mlp,0,0.001,0.9981677532196046,0.000981244217668,0.0007569386038687,0.7569386038687973,0.625,0.8653846153846154,0.7258064516129032,45,0.0,0.0,0.0,0,27
5m,mlp,0,0.01,0.7588968873023988,0.0099806554711374,0.0112139052425007,1.12139052425007,0.1071428571428571,0.9230769230769232,0.192,48,0.1416309012875536,0.1338742393509127,0.1376433785192909,66,400
5m,mlp,0,0.05,0.051667470484972,0.0499873840029157,0.0495093916456405,0.990187832912812,0.0280682443588332,0.9807692307692308,0.0545746388443017,51,0.195077484047402,0.8681541582150102,0.3185708969110532,428,1766
5m,mlp,1,0.001,0.9380933642387392,0.000981244217668,0.0008971124194,0.897112419400056,0.6,0.9230769230769232,0.7272727272727273,48,0.0857142857142857,0.0060851926977687,0.0113636363636363,3,32
5m,mlp,1,0.01,0.2222443372011185,0.0099806554711374,0.0102887580599943,1.0288758059994394,0.1199040767386091,0.9615384615384616,0.2132196162046908,50,0.341113105924596,0.385395537525355,0.3619047619047619,190,367
5m,mlp,1,0.05,0.0005150815704837,0.0499873840029157,0.0509111298009531,1.0182225960190636,0.0278372591006423,1.0,0.0541666666666666,52,0.2035087719298245,0.9411764705882352,0.3346556076451497,464,1816
5m,mlp,2,0.001,0.9239075183868408,0.000981244217668,0.0008130081300813,0.8130081300813008,0.6282051282051282,0.9423076923076924,0.7538461538461538,49,0.3695652173913043,0.0344827586206896,0.0630797773654916,17,29
5m,mlp,2,0.01,0.4774979650974274,0.0099806554711374,0.0105971404541631,1.059714045416316,0.116822429906542,0.9615384615384616,0.2083333333333333,50,0.3333333333333333,0.383367139959432,0.3566037735849056,189,378
5m,mlp,2,0.05,0.0003967965894844,0.0499873840029157,0.0512755817213344,1.025511634426689,0.0276448697501329,1.0,0.0538023797206414,52,0.2016586643387167,0.9371196754563894,0.3318965517241379,462,1829
5m,mlp,3,0.001,0.9800807237625124,0.000981244217668,0.0008410428931875,0.8410428931875525,0.6153846153846154,0.9230769230769232,0.7384615384615385,48,0.0909090909090909,0.0060851926977687,0.0114068441064638,3,30
5m,mlp,3,0.01,0.525511384010315,0.0099806554711374,0.0105410709279506,1.0541070927950658,0.1173708920187793,0.9615384615384616,0.209205020920502,50,0.3049907578558225,0.3346855983772819,0.3191489361702128,165,376
5m,mlp,3,0.05,0.0019234794890508,0.0499873840029157,0.0507148864592094,1.0142977291841884,0.0279419666845781,1.0,0.0543648719289074,52,0.1977827050997782,0.9046653144016228,0.3245997088791849,446,1809
5m,mlp,4,0.001,0.9096959829330445,0.000981244217668003,0.0008130081300813008,0.8130081300813008,0.6329113924050633,0.9615384615384616,0.7633587786259542,50,0.3409090909090909,0.030425963488843813,0.055865921787709494,15,29
5m,mlp,4,0.01,0.16528137028217318,0.009980655471137401,0.010653209980375666,1.0653209980375666,0.11627906976744186,0.9615384615384616,0.2074688796680498,50,0.3470790378006873,0.40973630831643004,0.3758139534883721,202,380
5m,mlp,4,0.05,0.0004098408680874855,0.0499873840029157,0.05197645079899075,1.039529015979815,0.02728226652675761,1.0,0.05311542390194075,52,0.19496309161962658,0.9107505070993914,0.321173104434907,449,1854
