window,method,backbone,alpha,num_seeds,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,violation_ratio_p90,violation_ratio_p95,strict_ok,b3_ok,b5_ok,b10_ok
1m,base,sage,0.01,5,5,0.7742132663726807,0.015030270397168552,0.0099942519144833,0.0,0.010732231925979437,0.00020455345342044364,1.0732231925979492,0.020455345342043126,0.20278706173646568,0.002730273434634963,0.8921212121212122,0.0050706668274792385,0.3304482508950004,0.0035727283958507865,0.14587781824509488,0.12272628651855376,0.06255605381165916,0.05931992444045311,0.08732142131935053,0.08031727244603223,1.0958446904377817,1.0995531327066066,0.0,1.0,1.0,1.0
1m,base,sage,0.05,5,5,0.17089693546295165,0.031769361703266476,0.0499898017837607,0.0,0.049993510226029506,0.00039690728416236936,0.9998702045205909,0.007938145683247008,0.05489570262602802,0.0005474286968746326,0.9490909090909092,0.006910154091509952,0.10378801620957348,0.0010058869515769987,0.25621355279607905,0.016749171230018577,0.5214125560538116,0.04518055445826522,0.3435597610547999,0.02486730445496178,1.0075095955943703,1.0081029463573823,0.6,1.0,1.0,1.0
1m,ours,gat,0.001,5,5,0.9956078290939333,0.001755950994743126,0.0009827372012386,0.0,0.00081956574141026,0.00024011984711102004,0.8195657414103206,0.24011984711100728,0.5991136933242197,0.08433219413521027,0.39272727272727276,0.06821884516487374,0.4713580522053123,0.061993851847783076,0.0,0.0,0.0,0.0,0.0,0.0,1.0086962971203943,1.042072277539819,0.8,1.0,1.0,1.0
1m,ours,gat,0.01,5,5,0.8517134547233584,0.02599192074754039,0.0099942519144833,0.0,0.010302052622795741,0.00019953349357235275,1.0302052622795794,0.01995334935723734,0.19946693422606204,0.0038167304710691108,0.8387878787878789,0.005420770854544936,0.32228328768940584,0.005319209948586659,0.1317751972248768,0.12796684178611814,0.054708520179372166,0.0578368324478163,0.07713663606971723,0.0798316207275361,1.0513433832118817,1.0569060466151192,0.0,1.0,1.0,1.0
1m,ours,gat,0.05,5,5,0.3287060856819153,0.029884310635869476,0.0499898017837607,0.0,0.04796499230498224,0.0007003705200128909,0.9592998460996458,0.014007410400257799,0.055783126912475244,0.0007946152660056314,0.926060606060606,0.00271038542727249,0.10522679881329326,0.0014184106241603826,0.287696597296597,0.025808805592074362,0.5869955156950672,0.06546115706214503,0.38610275247069736,0.03741450280578605,0.9730952513396747,0.9756911609278521,1.0,1.0,1.0,1.0
1m,ours,gcn,0.001,5,5,0.9950039744377138,0.0013133230639721053,0.0009827372012386,0.0,0.00090485991359324,0.00011156187689077573,0.904859913593295,0.11156187689077772,0.5941565888600469,0.035851305548159344,0.4351515151515152,0.06767827527342361,0.5008078343834319,0.055134574316088564,0.0,0.0,0.0,0.0,0.0,0.0,0.9975709703139197,1.0086962971203945,0.8,1.0,1.0,1.0
1m,ours,gcn,0.01,5,5,0.8071331381797793,0.02532972027300181,0.0099942519144833,0.0,0.010361387699096919,0.00030787888843158436,1.0361387699096993,0.030787888843159507,0.20020351439625475,0.004826186970034951,0.8472727272727273,0.0050706668274792385,0.32385477542319974,0.0063911772509038485,0.28144017451601006,0.08389496376433875,0.12690582959641256,0.048674271758736565,0.17463221140348195,0.06241382060006637,1.0680313734215943,1.0698855945560066,0.0,1.0,1.0,1.0
1m,ours,gcn,0.05,5,5,0.28138752579689025,0.04739108803245567,0.0499898017837607,0.0,0.04866217945152132,0.0007779557074625902,0.9732435890304277,0.015559114149251646,0.05570569125478274,0.0009325855202635584,0.9381818181818181,0.014469498650076785,0.10516591300546521,0.0017132177047615587,0.29016566622351375,0.006121517084267078,0.6013452914798207,0.015011541471991477,0.39143499985664254,0.008443336632725208,0.9896349038586343,0.9926758265190707,1.0,1.0,1.0,1.0
1m,ours,gin,0.001,5,5,0.9974044799804689,0.001119388741090792,0.0009790287589697597,8.292329003759806e-06,0.0008084404146038001,0.00021165753537111343,0.8084404146038455,0.21165753537113738,0.7148394059552873,0.04845376694581385,0.6509090909090909,0.04033833040556058,0.6797592170390833,0.023796287769494887,0.042439573210687004,0.03877865206073342,0.0012331838565022,0.0015040815992150738,0.00239246564690082,0.0028998462635538677,1.0235300661956943,1.0309469507333444,0.6,1.0,1.0,1.0
1m,ours,gin,0.01,5,5,0.5285514354705811,0.02391703794547298,0.0099942519144833,0.0,0.00936381672878302,0.0005601159803079067,0.9363816728783074,0.05601159803079191,0.22366990212637844,0.009501315013322404,0.8800000000000001,0.010841541709089915,0.35657511317045765,0.011792187654607976,0.3209310390758032,0.08380161566223662,0.1404708520179372,0.053996145359908904,0.19471599897658742,0.06811235795541312,0.9886707088687394,0.9986835029945669,0.8,1.0,1.0,1.0
