window,method,backbone,seed,alpha,threshold,validation_fpr,test_fpr,violation_ratio,seen_precision,seen_recall,seen_f1,seen_tp,ood_precision,ood_recall,ood_f1,ood_tp,false_positives
1m,base,gcn,0,0.01,0.958378553390503,0.0099942519144833,0.0091598524039977,0.91598524039977,0.2057877813504823,0.7757575757575758,0.3252858958068615,128,0.1482758620689655,0.0482062780269058,0.0727580372250423,86,494
1m,base,gcn,0,0.05,0.4921419024467469,0.0499898017837607,0.0515473475366672,1.0309469507333444,0.0521650187521309,0.9272727272727272,0.0987734021949645,153,0.2782969885773624,0.600896860986547,0.3804116394606103,1072,2780
1m,base,gcn,1,0.001,0.9992383718490602,0.0009827372012386,0.0009085683558621,0.90856835586212,0.5625,0.3818181818181818,0.4548736462093863,63,0.0,0.0,0.0,0,49
1m,base,gcn,1,0.01,0.9456274509429932,0.0099942519144833,0.0094379855741595,0.9437985574159572,0.1996855345911949,0.7696969696969697,0.317103620474407,127,0.0694698354661791,0.0213004484304932,0.0326040326040326,38,509
1m,base,gcn,1,0.05,0.5019161105155946,0.0499898017837607,0.0511950455211288,1.023900910422577,0.05217988328184,0.9212121212121211,0.0987654320987654,152,0.2815508717148061,0.6065022421524664,0.3845743735560689,1082,2761
1m,base,gcn,2,0.001,0.999622702598572,0.0009827372012386,0.0007973150877973,0.7973150877973707,0.6018518518518519,0.3939393939393939,0.4761904761904761,65,0.0,0.0,0.0,0,43
1m,base,gcn,2,0.01,0.9410536885261536,0.0099942519144833,0.0089558880792123,0.8955888079212326,0.2094926350245499,0.7757575757575758,0.3298969072164948,128,0.1757679180887372,0.0577354260089686,0.0869198312236286,103,483
1m,base,gcn,2,0.05,0.4883203804492951,0.0499898017837607,0.0513433832118818,1.0268676642376369,0.0526855969893944,0.9333333333333332,0.099740932642487,154,0.2846809609919917,0.6177130044843049,0.3897435897435897,1102,2769
1m,base,gcn,3,0.001,0.9996052384376528,0.0009827372012386,0.0008900261445179,0.8900261445179952,0.5862068965517241,0.4121212121212121,0.4839857651245551,68,0.0,0.0,0.0,0,48
1m,base,gcn,3,0.01,0.9460058808326722,0.0099942519144833,0.0091413101926535,0.9141310192653574,0.2073954983922829,0.7818181818181819,0.3278271918678526,129,0.2564102564102564,0.0952914798206278,0.1389456477319166,170,493
1m,base,gcn,3,0.05,0.4532354772090912,0.0499898017837607,0.0529750978101648,1.0595019562032968,0.0514608233731739,0.9393939393939394,0.0975763298709474,155,0.3006119951040392,0.6883408071748879,0.4184699267336855,1228,2857
1m,base,gcn,4,0.001,0.9988331198692324,0.0009827372012386,0.0008714839331738,0.8714839331738703,0.5607476635514018,0.3636363636363636,0.4411764705882353,60,0.0,0.0,0.0,0,47
1m,base,gcn,4,0.01,0.95376592874527,0.0099942519144833,0.0086406704863622,0.8640670486362203,0.2074829931972789,0.7393939393939394,0.3240371845949535,122,0.0411522633744856,0.0112107623318385,0.0176211453744493,20,466
1m,base,gcn,4,0.05,0.553545117378235,0.0499898017837607,0.0506758636034933,1.013517272069867,0.0520291363163371,0.9090909090909092,0.0984251968503937,150,0.2919689119170984,0.6317264573991032,0.3993621545003543,1127,2733
1m,base,gin,0,0.001,0.9699196219444276,0.0009827372012386,0.0014648346961858,1.4648346961858671,0.4697986577181208,0.4242424242424242,0.445859872611465,70,0.8740031897926634,0.3071748878923767,0.4545831605143094,548,79
1m,base,gin,0,0.01,0.7384357452392579,0.0099942519144833,0.0122564016984665,1.225640169846656,0.1611675126903553,0.7696969696969697,0.266526757607555,127,0.609338061465721,0.577914798206278,0.593210586881473,1031,661
1m,base,gin,0,0.05,0.2534574270248413,0.0499898017837607,0.0575735662235078,1.1514713244701562,0.0475460122699386,0.9393939393939394,0.0905109489051095,155,0.2941577631279836,0.7253363228699552,0.4185670386543749,1294,3105
