window,alpha,base_seen_f1_mean,base_ood_f1_mean,base_test_fpr_mean,base_violation_ratio_mean,base_violation_ratio_p95,base_strict_ok,base_b3_ok,base_b5_ok,base_b10_ok,ours_seen_f1_mean,ours_ood_f1_mean,ours_test_fpr_mean,ours_violation_ratio_mean,ours_violation_ratio_p95,ours_strict_ok,ours_b3_ok,ours_b5_ok,ours_b10_ok,delta_ood_f1,delta_seen_f1,delta_p95
1m,0.001,0.45713767618679474,0.06933365482190469,0.0011607424301421602,1.160742430142219,1.306298789193599,0.3,1.0,1.0,1.0,0.5629529566121059,0.00086792079314547,0.0009493612208191402,0.9493612208191949,1.105115796109844,0.55,1.0,1.0,1.0,-0.06846573402875922,0.10581528042531113,-0.2011829930837552
1m,0.01,0.31323702972138406,0.16013930896482276,0.010425358328234182,1.0425358328234224,1.0866662958224398,0.5,1.0,1.0,1.0,0.3361656214029624,0.17054933384193147,0.009961803044631044,0.99618030446311,1.0330793050379186,0.4,1.0,1.0,1.0,0.010410024877108709,0.022928591681578347,-0.05358699078452123
1m,0.05,0.09862786010358175,0.38631207310527027,0.05185700246611406,1.037140049322282,1.0561829003726984,0.3,1.0,1.0,1.0,0.10367964660519553,0.3722824569954414,0.04911924496115402,0.9823848992230813,0.9981828632882758,0.8,1.0,1.0,1.0,-0.01402961610982889,0.005051786501613781,-0.058000037084422584
5m,0.001,0.3809083314387225,0.10476430203147272,0.00153910849453318,1.5391084945332212,1.9484160358844966,0.5,0.9,1.0,1.0,0.4836518219644389,0.01570767263688825,0.0009223437061956399,0.9223437061956824,1.1031679282310063,0.7,1.0,1.0,1.0,-0.08905662939458447,0.10274349052571641,-0.8452481076534903
5m,0.01,0.18276691929502492,0.2863837220253997,0.011457807681525045,1.1457807681525092,1.2342304457527336,0.6,1.0,1.0,1.0,0.20044807434335574,0.279450740040425,0.010092514718250586,1.0092514718250634,1.0599943930473787,0.55,1.0,1.0,1.0,-0.006932981984974662,0.017681155048330816,-0.1742360527053548
5m,0.05,0.05036140035455293,0.29860658697104,0.0528777684328567,1.0575553686571346,1.1214185590131762,0.55,1.0,1.0,1.0,0.054037280204354596,0.3227415183399166,0.04887860947574988,0.9775721895149985,0.9961312026913371,0.9,1.0,1.0,1.0,0.024134931368876622,0.0036758798498016665,-0.12528735632183907
