window,family,alpha,num_models,num_runs,threshold_mean,threshold_std,validation_fpr_mean,validation_fpr_std,test_fpr_mean,test_fpr_std,violation_ratio_mean,violation_ratio_std,seen_precision_mean,seen_precision_std,seen_recall_mean,seen_recall_std,seen_f1_mean,seen_f1_std,ood_precision_mean,ood_precision_std,ood_recall_mean,ood_recall_std,ood_f1_mean,ood_f1_std,strict_ok,b3_ok,b5_ok,b10_ok,violation_ratio_p90,violation_ratio_p95
1m,tabular,0.001,3,15,0.6518138737222811,0.4224166843373079,0.0009679034321632867,2.9065428522381242e-05,0.0010086962971203332,0.00015093080173648243,1.0086962971203945,0.15093080173647413,0.7118554672325447,0.035672368074592155,0.8298989898989899,0.17187023142029959,0.7606622751061561,0.09500573723546525,0.5252363590792692,0.378471713843766,0.13303437967115092,0.14298551938392765,0.20435807379440046,0.21168369085522376,0.4666666666666667,1.0,1.0,1.0,1.0729759631133609,1.0865735847657192
1m,tabular,0.01,3,15,0.35481767077173604,0.36558733360392964,0.009459000080349547,0.0007937918809844286,0.009302009357635957,0.0011255173925249302,0.9302009357635992,0.11255173925249362,0.24061409215734492,0.027984288283574178,0.9515151515151515,0.02380558802574463,0.38362071167671363,0.03725880020781607,0.5364945541214509,0.12110055926078309,0.3528026905829596,0.14439920079989121,0.4226849454073112,0.14230376468148637,0.6,1.0,1.0,1.0,0.9437985574159574,0.9462708522618407
1m,tabular,0.05,3,15,0.06477722231600107,0.08802272726082576,0.046809194464531814,0.004673803184295887,0.04574487153337903,0.004829008986674043,0.9148974306675813,0.0965801797334806,0.06134130550649366,0.007646695045230764,0.9652525252525254,0.01824903400506866,0.11528441404974334,0.013594661127525836,0.333830965257609,0.04619227571318025,0.6885650224215246,0.07373726210017352,0.4494277691566018,0.05683611447060378,1.0,1.0,1.0,1.0,0.9256766361956327,0.9280005933507628
5m,tabular,0.001,3,15,0.6808406493294391,0.42974598095962696,0.0009700299980375002,2.5519610581547356e-05,0.0008840295299504133,0.00014171394156380088,0.8840295299504718,0.1417139415638038,0.5926712049516847,0.05582390780859953,0.8782051282051283,0.0684428093078931,0.7075321835104249,0.06100382277747482,0.25583226476134563,0.21606774957404395,0.026910074374577368,0.025719965349090258,0.048603391650264456,0.04596184822788722,0.6666666666666666,1.0,1.0,1.0,0.9195402298850576,0.9270161667133913
5m,tabular,0.01,3,15,0.2728321322836591,0.23260459839146824,0.009513396319866906,0.0006945857633203343,0.009507522661433438,0.0010215181547807387,0.9507522661433511,0.10215181547807342,0.1290489678336413,0.01363623784050756,0.9564102564102565,0.01699452118631799,0.22721686382274012,0.021439986883640908,0.34584115456457176,0.09967229858050967,0.3734956051386071,0.12965404330504057,0.3585559941639845,0.11350211449101186,0.6666666666666666,1.0,1.0,1.0,0.9744883655733109,0.9806560134566862
5m,tabular,0.05,3,15,0.007401313722950587,0.013314133870263036,0.04115431700729858,0.012933114106446318,0.042136248948696345,0.013931794461016438,0.8427249789739276,0.27863588922032884,0.03741116526371561,0.015399568103544104,0.9807692307692306,0.016252966437086843,0.0716805903222429,0.02830754647462907,0.21295489722150246,0.07981513266558599,0.7423935091277891,0.15565697642448617,0.32563325730469106,0.10124407946259871,0.4,1.0,1.0,1.0,0.8495654611718532,0.8505373329595364
